ID,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
42,35,male,High School,76220,11,MORTGAGE,17914,MEDICAL,16.87,0.24,10,618,No,1
43,29,male,Associate,90953,5,MORTGAGE,14400,DEBTCONSOLIDATION,13.92,0.16,9,685,No,0
44,27,female,High School,97019,7,MORTGAGE,20000,PERSONAL,11.01,0.21,10,629,Yes,0
45,31,female,Associate,37087,6,RENT,5500,HOMEIMPROVEMENT,15.21,0.15,7,661,No,1
46,28,female,Bachelor,31023,3,RENT,5000,EDUCATION,7.51,0.16,8,715,No,0
47,21,female,High School,192841,1,MORTGAGE,15250,VENTURE,15.31,0.08,4,648,No,0
48,27,male,Bachelor,40991,6,RENT,5000,PERSONAL,10,0.12,10,688,Yes,0
49,26,male,High School,174957,3,RENT,18500,EDUCATION,12.87,0.11,3,584,No,0
50,27,female,High School,53774,2,RENT,15000,EDUCATION,11.76,0.28,6,505,No,1
51,26,female,Associate,79087,3,MORTGAGE,7200,VENTURE,11.65,0.09,6,566,Yes,0
52,23,female,Associate,71255,2,RENT,20000,DEBTCONSOLIDATION,7.66,0.28,3,654,No,1
53,25,female,Associate,48860,1,RENT,5000,DEBTCONSOLIDATION,11.59,0.1,4,575,Yes,0
54,22,male,Associate,60782,0,MORTGAGE,2000,EDUCATION,12.18,0.03,4,627,Yes,0
55,39,female,Bachelor,43873,17,MORTGAGE,7125,PERSONAL,7.9,0.16,12,699,Yes,0
56,24,female,Associate,45164,2,MORTGAGE,6000,EDUCATION,9.99,0.13,4,661,Yes,0
57,25,male,High School,179943,1,OWN,7112,VENTURE,10.09,0.04,3,632,No,0
58,22,female,Bachelor,29487,4,RENT,4800,DEBTCONSOLIDATION,11.86,0.16,3,670,No,0
59,40,male,High School,90929,13,RENT,14000,EDUCATION,6.52,0.15,13,618,Yes,0
60,26,female,Doctorate,113779,5,MORTGAGE,5000,DEBTCONSOLIDATION,7.68,0.04,3,636,Yes,0
61,41,female,High School,70742,17,RENT,7500,PERSONAL,11.03,0.11,16,686,No,0
62,30,male,Bachelor,132844,5,MORTGAGE,12000,VENTURE,10.66,0.09,7,680,No,0
63,25,male,Associate,156937,2,MORTGAGE,21000,VENTURE,13.16,0.13,3,542,Yes,0
64,35,female,Bachelor,113648,11,MORTGAGE,14953,DEBTCONSOLIDATION,9.92,0.13,10,572,Yes,0
65,27,female,High School,100150,3,MORTGAGE,11100,PERSONAL,8.94,0.11,5,629,No,0
66,25,female,High School,145172,1,MORTGAGE,13000,EDUCATION,9.99,0.09,4,662,Yes,0
67,34,female,Associate,66620,10,MORTGAGE,2500,PERSONAL,13.49,0.04,5,641,Yes,0
68,23,female,Associate,91332,0,RENT,7500,EDUCATION,13.48,0.08,3,522,Yes,0
69,26,male,Master,55862,6,RENT,9000,DEBTCONSOLIDATION,7.14,0.16,3,660,Yes,0
70,38,female,High School,231498,16,MORTGAGE,5600,HOMEIMPROVEMENT,7.9,0.02,14,661,Yes,0
71,23,female,High School,71632,0,RENT,11000,PERSONAL,10.61,0.15,4,560,Yes,0
72,23,male,High School,45180,0,OWN,6000,EDUCATION,8.9,0.13,3,637,Yes,0
73,29,male,Associate,50477,7,RENT,8000,EDUCATION,11.99,0.16,7,638,Yes,0
74,24,male,Master,67095,5,RENT,10000,VENTURE,14.36,0.15,3,627,Yes,0
75,35,female,Master,18137,9,RENT,3000,HOMEIMPROVEMENT,11.01,0.17,7,700,No,1
76,25,male,High School,131226,0,MORTGAGE,8000,PERSONAL,12.42,0.06,4,568,Yes,0
77,32,male,Master,121075,13,MORTGAGE,6000,PERSONAL,7.14,0.05,10,645,Yes,0
78,24,male,High School,70440,2,MORTGAGE,8000,EDUCATION,13.43,0.11,4,671,No,0
79,24,female,Associate,49231,2,RENT,8173,DEBTCONSOLIDATION,10.26,0.17,3,668,No,1
80,25,male,Master,83730,4,RENT,1025,DEBTCONSOLIDATION,8.41,0.01,4,589,Yes,0
81,25,male,Associate,20221,5,OWN,5000,PERSONAL,8.94,0.25,4,572,No,1
82,49,male,Master,35683,27,MORTGAGE,12000,MEDICAL,11.01,0.34,16,645,Yes,0
83,28,female,Master,145223,5,MORTGAGE,8000,PERSONAL,15.62,0.06,7,702,No,0
84,28,male,Bachelor,66411,6,RENT,5000,PERSONAL,10.83,0.08,6,588,Yes,0
85,26,male,Bachelor,107414,0,RENT,24000,HOMEIMPROVEMENT,10.9,0.22,5,625,Yes,0
86,31,female,Master,166445,9,MORTGAGE,24000,MEDICAL,10.62,0.14,6,659,Yes,0
87,28,male,High School,123259,2,MORTGAGE,15000,EDUCATION,13.92,0.12,8,635,No,0
88,25,male,Master,36767,2,MORTGAGE,8000,VENTURE,9.32,0.22,4,694,No,0
89,28,male,Master,104215,6,MORTGAGE,15600,PERSONAL,5.99,0.15,7,622,Yes,0
90,26,male,High School,53670,5,RENT,4600,MEDICAL,13.99,0.09,3,658,No,1
91,24,male,Associate,49157,3,RENT,3825,VENTURE,10,0.08,4,634,Yes,0
92,54,male,Bachelor,48124,29,MORTGAGE,20000,PERSONAL,10.71,0.42,19,704,No,0
93,22,male,Associate,37347,0,OWN,7200,MEDICAL,10.99,0.19,2,559,Yes,0
94,25,female,Bachelor,177226,6,MORTGAGE,28000,VENTURE,10.99,0.16,3,668,No,0
95,38,male,Associate,49442,17,OWN,9000,MEDICAL,7.49,0.18,16,693,Yes,0
96,33,female,Associate,43852,12,RENT,12200,EDUCATION,9.99,0.28,6,646,No,1
97,23,male,Associate,29110,4,RENT,4200,MEDICAL,11.01,0.14,3,713,Yes,0
98,31,female,High School,36929,8,RENT,7200,VENTURE,11.48,0.19,6,588,Yes,0
99,25,male,Associate,96986,2,MORTGAGE,10000,VENTURE,7.49,0.1,4,705,No,0
100,31,female,High School,138817,5,MORTGAGE,6500,VENTURE,13.98,0.05,9,643,Yes,0
101,42,male,High School,600928,17,OWN,24000,MEDICAL,18.43,0.04,11,667,No,1
102,36,male,Associate,48181,13,MORTGAGE,1800,EDUCATION,14.09,0.04,17,683,No,1
103,46,male,Associate,109827,25,RENT,22000,HOMEIMPROVEMENT,18.79,0.2,16,642,No,1
104,24,female,High School,91348,0,RENT,24000,PERSONAL,11.82,0.26,4,655,No,1
105,30,male,Associate,32851,7,RENT,9000,EDUCATION,9.17,0.27,9,614,No,1
106,52,male,High School,85005,33,OWN,12000,PERSONAL,11.11,0.14,22,645,Yes,0
107,26,male,Bachelor,44742,5,RENT,7800,VENTURE,14.27,0.17,2,680,Yes,0
108,26,female,Associate,181307,4,OWN,24000,VENTURE,11.83,0.13,4,629,Yes,0
109,24,female,Associate,60951,1,OWN,10000,VENTURE,11.12,0.16,2,676,No,0
110,26,male,High School,187960,1,RENT,15000,DEBTCONSOLIDATION,12.42,0.08,4,590,Yes,0
111,38,female,Associate,156842,17,MORTGAGE,30000,DEBTCONSOLIDATION,9.91,0.19,11,619,Yes,0
112,25,male,Associate,78979,2,OWN,8700,VENTURE,7.88,0.11,3,682,Yes,0
113,30,female,Associate,60914,10,RENT,2000,DEBTCONSOLIDATION,14.79,0.03,6,666,Yes,0
114,24,male,Associate,100623,2,RENT,9000,PERSONAL,15.05,0.09,3,617,No,1
115,30,female,Bachelor,56842,9,RENT,13000,DEBTCONSOLIDATION,9.63,0.23,5,695,No,0
116,25,male,Master,78691,0,MORTGAGE,12000,VENTURE,7.9,0.15,4,606,No,0
117,36,female,Associate,26792,14,OWN,2100,VENTURE,8.49,0.08,12,684,No,0
118,41,male,High School,88496,18,RENT,8550,EDUCATION,14.3,0.1,16,590,No,1
119,35,female,Bachelor,106523,12,RENT,6000,PERSONAL,15.37,0.06,8,610,No,0
120,21,male,Associate,22655,0,RENT,5000,EDUCATION,12.2,0.22,3,619,No,1
121,24,male,Bachelor,42652,0,MORTGAGE,9587,PERSONAL,7.63,0.22,3,665,Yes,0
122,36,female,High School,89755,9,MORTGAGE,10250,EDUCATION,11.48,0.11,15,644,No,1
123,24,male,High School,126727,0,RENT,19000,HOMEIMPROVEMENT,12.29,0.15,2,582,Yes,0
124,33,male,Associate,41155,8,RENT,9600,DEBTCONSOLIDATION,10.99,0.23,8,688,No,0
125,36,female,Master,65505,10,RENT,7500,HOMEIMPROVEMENT,11.01,0.11,14,709,No,1
126,37,male,Master,35648,18,MORTGAGE,7750,DEBTCONSOLIDATION,11.01,0.22,16,759,No,0
127,24,female,Bachelor,31003,2,RENT,10000,VENTURE,11.67,0.32,4,668,No,1
128,28,female,Associate,61206,7,OWN,22000,HOMEIMPROVEMENT,7.49,0.36,5,495,Yes,0
129,22,male,Bachelor,89796,0,MORTGAGE,19000,VENTURE,20,0.21,2,670,No,1
130,23,female,High School,36601,1,RENT,3600,PERSONAL,14.17,0.1,3,619,No,0
131,26,female,Master,68400,5,RENT,5100,PERSONAL,8,0.07,4,677,Yes,0
132,40,female,Bachelor,73051,17,MORTGAGE,4800,VENTURE,14.59,0.07,11,639,Yes,0
133,24,male,Associate,51376,3,RENT,15000,VENTURE,11.85,0.29,4,523,No,1
134,23,male,Bachelor,46620,0,MORTGAGE,4000,VENTURE,12.42,0.09,3,645,Yes,0
135,23,male,High School,71875,1,RENT,24000,DEBTCONSOLIDATION,19.69,0.33,2,585,No,1
136,28,female,Master,37184,3,RENT,5200,EDUCATION,5.64,0.14,7,549,No,0
137,35,male,Associate,148556,14,MORTGAGE,25000,HOMEIMPROVEMENT,17.08,0.17,9,641,No,1
138,26,female,Associate,45526,0,RENT,14000,PERSONAL,9.89,0.31,3,666,No,1
139,36,male,High School,204546,15,MORTGAGE,20639,EDUCATION,13.12,0.1,10,712,Yes,0
140,22,female,High School,62870,0,MORTGAGE,7000,VENTURE,12.98,0.11,2,608,No,0
141,33,male,Bachelor,116256,12,MORTGAGE,3000,DEBTCONSOLIDATION,11.49,0.03,7,667,No,0
142,25,male,Associate,27630,4,RENT,5000,PERSONAL,16.32,0.18,3,566,No,1
143,32,female,Associate,101687,10,RENT,15000,DEBTCONSOLIDATION,15.52,0.15,8,655,No,1
144,26,female,Associate,126880,1,MORTGAGE,6000,DEBTCONSOLIDATION,10.99,0.05,4,616,No,0
145,21,male,Associate,36040,0,RENT,6000,HOMEIMPROVEMENT,10.62,0.17,3,636,No,1
146,51,male,High School,120023,27,RENT,9000,HOMEIMPROVEMENT,11.49,0.07,22,566,Yes,0
147,25,male,Master,76292,3,MORTGAGE,3000,PERSONAL,13.47,0.04,2,573,Yes,0
148,26,male,High School,72715,5,RENT,9000,EDUCATION,12.68,0.12,4,667,Yes,0
149,30,female,Associate,39201,9,RENT,6595,VENTURE,14.65,0.17,9,658,No,0
150,21,male,Bachelor,15237,0,RENT,3200,VENTURE,11.49,0.21,2,631,No,1
151,21,male,Associate,27200,0,RENT,7000,EDUCATION,13.98,0.26,3,675,No,1
152,23,male,Master,42822,0,RENT,2000,MEDICAL,8.43,0.05,3,614,Yes,0
153,37,female,High School,72954,14,RENT,5000,VENTURE,6.17,0.07,13,578,Yes,0
154,25,male,Associate,50505,5,RENT,11889,PERSONAL,12.01,0.24,3,637,Yes,0
155,38,male,Associate,150788,15,RENT,12000,EDUCATION,7.66,0.08,14,701,No,0
156,22,male,High School,73120,0,RENT,6025,VENTURE,11.01,0.08,3,568,Yes,0
157,24,male,High School,102176,2,MORTGAGE,18000,EDUCATION,9.99,0.18,2,700,Yes,0
158,23,male,Associate,56322,2,RENT,9000,PERSONAL,9.99,0.16,3,621,No,0
159,36,male,High School,67516,14,MORTGAGE,12000,PERSONAL,11.01,0.18,13,627,Yes,0
160,22,male,Bachelor,54879,0,RENT,9000,PERSONAL,7.9,0.16,3,596,No,0
161,24,male,Bachelor,44144,1,RENT,7000,MEDICAL,6.03,0.16,3,668,No,0
162,23,male,High School,65631,0,RENT,16750,VENTURE,11.01,0.26,4,520,No,1
163,36,male,Master,58763,15,RENT,6000,PERSONAL,9.4,0.1,14,611,Yes,0
164,38,female,Bachelor,376616,18,MORTGAGE,21600,DEBTCONSOLIDATION,11.01,0.06,16,630,Yes,0
165,29,female,Associate,138570,8,MORTGAGE,15000,VENTURE,7.87,0.11,7,670,Yes,0
166,26,female,Bachelor,120839,3,MORTGAGE,5000,EDUCATION,6.92,0.04,4,649,Yes,0
167,28,male,High School,49234,5,RENT,15000,DEBTCONSOLIDATION,7.88,0.3,5,511,No,1
168,32,male,Associate,51052,9,RENT,5800,DEBTCONSOLIDATION,9.32,0.11,10,653,No,0
169,26,male,Master,34546,0,OWN,16750,EDUCATION,7.88,0.48,4,546,No,0
170,33,female,Bachelor,26925,14,RENT,6500,DEBTCONSOLIDATION,11.01,0.24,5,677,Yes,0
171,24,male,High School,132918,2,MORTGAGE,10000,HOMEIMPROVEMENT,8.61,0.08,2,594,Yes,0
172,23,male,High School,65464,3,RENT,1600,EDUCATION,12.42,0.02,4,642,Yes,0
173,23,male,Bachelor,82752,5,MORTGAGE,1000,EDUCATION,8,0.01,3,695,No,0
174,28,female,Associate,271029,7,MORTGAGE,16800,PERSONAL,13.92,0.06,5,612,Yes,0
175,26,female,Bachelor,67860,4,RENT,8039,HOMEIMPROVEMENT,11.59,0.12,4,678,No,0
176,29,female,Associate,94502,1,MORTGAGE,9600,PERSONAL,11.01,0.1,5,681,Yes,0
177,22,male,High School,31107,0,RENT,4000,DEBTCONSOLIDATION,10.36,0.13,2,662,No,0
178,36,male,Bachelor,87385,11,RENT,25000,MEDICAL,17.57,0.29,10,678,No,1
179,28,male,Master,84809,5,MORTGAGE,8000,HOMEIMPROVEMENT,12.88,0.09,8,664,Yes,0
180,24,female,Bachelor,57624,0,OWN,4000,PERSONAL,9.5,0.07,4,668,Yes,0
181,25,male,Master,69113,0,RENT,2000,MEDICAL,11.36,0.03,2,692,No,0
182,23,male,Master,63662,3,RENT,7500,VENTURE,10.38,0.12,2,690,No,0
183,22,male,High School,84933,0,OWN,8000,VENTURE,13.24,0.09,3,600,No,0
184,34,male,Master,85755,11,MORTGAGE,10000,DEBTCONSOLIDATION,11.26,0.12,9,624,Yes,0
185,27,male,Master,36141,4,RENT,6480,HOMEIMPROVEMENT,14.56,0.18,7,708,No,1
186,25,female,Bachelor,53658,2,MORTGAGE,15000,DEBTCONSOLIDATION,11.01,0.28,2,679,No,1
187,31,female,Bachelor,163187,7,MORTGAGE,3574,VENTURE,13.13,0.02,9,553,Yes,0
188,23,male,Associate,54977,0,RENT,9000,EDUCATION,10.35,0.16,3,646,Yes,0
189,27,male,High School,157223,5,MORTGAGE,3100,MEDICAL,11.11,0.02,8,603,Yes,0
190,38,male,High School,130810,17,MORTGAGE,4000,VENTURE,7.74,0.03,11,584,Yes,0
191,28,male,Bachelor,79187,7,OWN,8000,VENTURE,7.66,0.1,7,679,Yes,0
192,31,female,Bachelor,36752,8,MORTGAGE,9450,PERSONAL,8.49,0.26,8,589,No,0
193,25,male,Bachelor,69161,4,RENT,15000,PERSONAL,13.85,0.22,2,637,No,0
194,34,male,Associate,91546,9,RENT,19200,EDUCATION,16.77,0.21,10,651,No,1
195,26,male,Bachelor,73402,4,MORTGAGE,20000,EDUCATION,10.74,0.27,4,511,Yes,0
196,22,male,Bachelor,61353,0,MORTGAGE,12000,EDUCATION,7.29,0.2,3,661,No,0
197,23,male,Bachelor,66788,0,RENT,4000,MEDICAL,9.32,0.06,3,628,Yes,0
198,27,male,Bachelor,98721,3,MORTGAGE,6000,HOMEIMPROVEMENT,8.36,0.06,5,710,Yes,0
199,36,male,High School,314855,14,MORTGAGE,24000,MEDICAL,10.62,0.08,16,611,No,1
200,46,male,Associate,67301,22,MORTGAGE,5000,MEDICAL,9.91,0.07,14,687,Yes,0
201,21,male,High School,67000,0,MORTGAGE,12000,PERSONAL,5.42,0.18,2,609,Yes,0
202,37,female,Bachelor,33351,14,RENT,5000,VENTURE,11.49,0.15,11,671,No,0
203,32,female,Bachelor,31116,14,RENT,3700,DEBTCONSOLIDATION,9.91,0.12,6,714,No,0
204,25,male,Bachelor,43980,3,RENT,12500,VENTURE,11.72,0.28,4,614,No,1
205,25,male,High School,112116,3,MORTGAGE,5338,MEDICAL,10.11,0.05,4,587,Yes,0
206,22,male,High School,35446,0,MORTGAGE,9000,DEBTCONSOLIDATION,11.01,0.25,4,588,No,1
207,29,male,Bachelor,54031,4,MORTGAGE,9264,DEBTCONSOLIDATION,8.36,0.17,6,655,Yes,0
208,27,female,Master,36954,7,RENT,10000,MEDICAL,17.58,0.27,6,694,No,1
209,26,male,Master,71759,0,MORTGAGE,8000,MEDICAL,15.99,0.11,2,653,No,1
210,26,female,Bachelor,156845,5,MORTGAGE,10000,PERSONAL,6.03,0.06,2,680,Yes,0
211,33,female,Associate,80302,12,MORTGAGE,20000,PERSONAL,12.61,0.25,5,626,No,0
212,29,female,Master,61035,7,OWN,4000,MEDICAL,5.42,0.07,8,629,Yes,0
213,37,male,Associate,74602,13,MORTGAGE,6350,MEDICAL,7.51,0.09,14,657,Yes,0
214,23,male,Bachelor,89331,0,RENT,18000,EDUCATION,11.01,0.2,2,682,Yes,0
215,25,female,Bachelor,70451,2,RENT,13600,MEDICAL,9.99,0.19,2,593,Yes,0
216,23,female,Associate,73187,0,MORTGAGE,8000,PERSONAL,7.51,0.11,2,612,Yes,0
217,24,female,Master,52689,6,RENT,11000,EDUCATION,8.94,0.21,3,629,Yes,0
218,27,male,Bachelor,79809,6,RENT,6000,EDUCATION,15.62,0.08,9,665,Yes,0
219,24,female,Associate,39391,2,RENT,4800,MEDICAL,10.59,0.12,2,660,No,0
220,33,female,Bachelor,26220,8,OWN,7754,EDUCATION,11.86,0.3,6,680,Yes,0
221,28,female,Associate,71898,7,MORTGAGE,8000,PERSONAL,7.37,0.11,6,711,No,1
222,27,male,Bachelor,66981,4,RENT,8000,MEDICAL,11.83,0.12,9,692,Yes,0
223,22,male,Bachelor,43080,0,MORTGAGE,4000,VENTURE,7.29,0.09,2,646,Yes,0
224,36,male,Master,100878,12,MORTGAGE,13000,VENTURE,11.97,0.13,14,700,No,0
225,25,female,Bachelor,45231,1,RENT,7000,PERSONAL,12.85,0.15,3,637,Yes,0
226,51,male,High School,97320,28,RENT,18000,HOMEIMPROVEMENT,18.78,0.18,20,634,Yes,0
227,32,male,Associate,66046,9,RENT,1500,DEBTCONSOLIDATION,14.42,0.02,9,673,No,1
228,28,female,Associate,35719,2,RENT,5000,VENTURE,10.65,0.14,9,621,Yes,0
229,33,male,Master,32385,12,MORTGAGE,15000,DEBTCONSOLIDATION,9.76,0.46,6,684,No,1
230,43,female,Bachelor,73087,19,MORTGAGE,4800,MEDICAL,9.64,0.07,13,604,Yes,0
231,23,male,High School,74446,2,OWN,9000,EDUCATION,16.49,0.12,3,503,Yes,0
232,23,male,Bachelor,39881,0,RENT,10000,EDUCATION,8.49,0.25,3,614,No,1
233,24,female,Bachelor,66925,0,OWN,12000,VENTURE,11.26,0.18,3,609,No,0
234,25,male,Associate,26909,0,RENT,4900,EDUCATION,13.72,0.18,2,662,Yes,0
235,23,female,Bachelor,58593,3,OWN,15750,VENTURE,16.35,0.27,3,571,Yes,0
236,23,male,Master,151143,0,MORTGAGE,10000,VENTURE,14.49,0.07,3,619,Yes,0
237,28,male,High School,47754,8,RENT,14000,EDUCATION,7.9,0.29,8,584,No,1
238,41,female,Associate,29165,18,OWN,10000,HOMEIMPROVEMENT,10.38,0.34,16,628,Yes,0
239,28,female,Master,37972,3,MORTGAGE,9973,DEBTCONSOLIDATION,9.02,0.26,6,533,Yes,0
240,22,male,High School,57416,0,MORTGAGE,10600,PERSONAL,15.96,0.18,4,625,Yes,0
241,49,male,Associate,172318,24,MORTGAGE,24000,MEDICAL,11.01,0.14,14,591,No,1
242,26,female,Associate,91121,2,RENT,12000,EDUCATION,10.38,0.13,3,626,Yes,0
243,23,female,High School,35590,4,OWN,10000,MEDICAL,18.62,0.28,3,560,No,1
244,32,female,Associate,64549,8,MORTGAGE,24000,HOMEIMPROVEMENT,7.51,0.37,10,659,Yes,0
245,24,male,Associate,67317,2,MORTGAGE,5500,HOMEIMPROVEMENT,8.59,0.08,4,615,Yes,0
246,22,male,Bachelor,73179,0,MORTGAGE,12000,EDUCATION,10.45,0.16,3,679,Yes,0
247,22,female,Bachelor,52883,0,MORTGAGE,9000,EDUCATION,11.71,0.17,4,617,Yes,0
248,26,male,Bachelor,87230,2,RENT,9000,DEBTCONSOLIDATION,10.74,0.1,2,639,Yes,0
249,23,male,High School,54982,2,RENT,9000,PERSONAL,12.97,0.16,4,648,No,0
250,22,female,Bachelor,34317,0,RENT,3000,MEDICAL,11.01,0.09,2,676,No,0
251,25,female,High School,40410,2,MORTGAGE,3000,MEDICAL,11.99,0.07,2,621,Yes,0
252,25,male,Master,133249,3,MORTGAGE,12000,DEBTCONSOLIDATION,15.99,0.09,3,624,No,1
253,42,male,Associate,64285,20,RENT,5600,EDUCATION,10.99,0.09,14,711,Yes,0
254,23,male,Bachelor,69575,0,MORTGAGE,14075,EDUCATION,9.91,0.2,2,639,Yes,0
255,22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,4,621,No,1
256,37,male,High School,92749,11,RENT,24250,DEBTCONSOLIDATION,15.65,0.26,13,567,No,1
257,34,male,Doctorate,91089,10,RENT,12000,VENTURE,7.29,0.13,8,574,Yes,0
258,23,female,Bachelor,34676,1,RENT,1513,MEDICAL,13.17,0.04,4,690,Yes,0
259,29,male,Bachelor,55303,6,RENT,8641,MEDICAL,13.07,0.16,7,584,Yes,0
260,24,female,Associate,63729,0,RENT,12000,MEDICAL,9.99,0.19,4,603,No,1
261,40,female,High School,150890,15,MORTGAGE,8845,MEDICAL,7.8,0.06,12,585,Yes,0
262,22,female,High School,30818,1,RENT,10000,PERSONAL,10.66,0.32,4,637,No,1
263,26,male,Associate,102833,1,MORTGAGE,6000,DEBTCONSOLIDATION,9.88,0.06,2,546,Yes,0
264,25,male,Bachelor,181146,2,MORTGAGE,25000,DEBTCONSOLIDATION,10.75,0.14,2,671,No,0
265,26,female,High School,49037,3,RENT,5000,PERSONAL,9.91,0.1,3,640,Yes,0
266,27,female,Master,49280,5,RENT,20000,MEDICAL,6.91,0.41,5,657,No,1
267,37,female,Bachelor,71731,14,RENT,4800,EDUCATION,14.54,0.07,14,644,No,1
268,31,female,Master,86113,7,MORTGAGE,18000,MEDICAL,19.74,0.21,10,708,No,1
269,23,female,Bachelor,18554,0,RENT,1163,VENTURE,16.25,0.06,3,664,No,1
270,36,female,High School,113714,10,MORTGAGE,24780,VENTURE,13.76,0.22,14,686,No,1
271,41,male,Associate,109125,17,MORTGAGE,3000,EDUCATION,7.14,0.03,14,674,No,0
272,26,male,Bachelor,72324,1,RENT,6000,PERSONAL,11.2,0.08,3,560,Yes,0
273,26,female,Bachelor,58445,7,RENT,4000,VENTURE,5.79,0.07,2,673,No,0
274,25,male,Bachelor,69368,3,RENT,9600,MEDICAL,14.46,0.14,3,589,No,1
275,32,male,Bachelor,97042,8,RENT,6400,PERSONAL,10.99,0.07,8,685,No,0
276,42,male,High School,39203,19,RENT,3000,MEDICAL,6.99,0.08,12,642,Yes,0
277,30,male,Master,115952,7,MORTGAGE,8000,MEDICAL,6.99,0.07,8,690,No,0
278,21,female,Master,29771,0,MORTGAGE,5000,EDUCATION,8.7,0.17,2,637,Yes,0
279,22,male,Associate,30490,1,OWN,10000,VENTURE,11.01,0.33,3,634,Yes,0
