age,annual_income,credit_score,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,missed_payments_last_2yrs,savings_balance,loan_purpose,defaulted
34,46854,466,15721,1.2,12,0.429,2,6448,home,Yes
56,71521,623,13398,1.1,10,0.582,4,12253,auto,Yes
33,39369,656,22533,5.1,2,0.307,No,18754,education,No
28,89711,653,1076,8.3,8,0.114,No,20855,personal,No
63,27643,677,12841,0.4,7,0.632,No,No,auto,Yes
40,63093,715,8506,4.7,9,0.222,No,13605,education,No
56,44655,612,20307,3.6,13,0.542,Yes,9396,home,Yes
48,61564,656,19422,9.0,12,0.232,No,23728,home,No
39,10000,712,17105,4.6,5,0.573,4,1749,auto,Yes
30,64012,695,17143,6.4,8,0.076,No,15608,home,No
29,73394,735,17558,9.2,13,0.123,No,20005,personal,No
38,70140,775,24697,2.1,10,0.179,No,20941,personal,No
48,80882,724,1000,No,2,0.288,No,18999,home,No
62,47598,638,1762,8.8,6,0.567,4,No,education,Yes
38,17054,584,17419,2.7,4,0.454,Yes,4541,auto,Yes
61,27721,624,21692,5.0,3,0.388,No,2705,auto,Yes
40,37692,537,15215,2.8,9,0.576,2,5141,auto,Yes
62,53344,759,11155,6.0,11,0.228,2,10954,home,No
24,77229,550,23674,4.6,14,0.231,No,12951,personal,No
24,84749,772,14037,2.9,6,0.315,No,6222,home,No
59,56486,577,7070,No,3,0.651,Yes,No,auto,Yes
52,65737,664,12013,10.5,Yes,0.244,No,13388,personal,No
57,39903,629,12218,No,12,0.503,2,7081,personal,Yes
53,59709,822,5255,9.8,2,0.178,No,1369,auto,No
64,36061,690,7256,1.4,11,0.569,3,3398,home,Yes
24,53719,660,9836,13.9,7,0.363,No,30940,personal,No
47,121479,610,16150,8.5,10,0.247,No,16915,auto,No
37,18672,511,14214,1.6,4,0.669,3,2379,auto,Yes
38,60377,503,26373,No,7,0.554,Yes,3974,education,Yes
64,66878,811,13105,8.0,11,0.224,Yes,12627,home,No
24,63307,659,9962,No,14,0.526,3,2993,education,Yes
23,61835,795,10830,9.3,3,0.329,Yes,7738,home,No
60,35994,593,14194,1.6,14,0.424,No,No,auto,Yes
64,51758,518,10392,2.0,8,0.544,2,4696,auto,Yes
57,30134,576,1000,0.2,Yes,0.503,No,No,auto,Yes
34,17238,596,19080,1.8,9,0.417,4,No,education,Yes
31,72028,682,25453,No,4,0.05,2,7597,education,No
44,22901,624,9577,4.8,12,0.6,Yes,No,home,Yes
25,26161,575,12289,6.7,7,0.601,Yes,7295,personal,Yes
59,29748,551,14288,No,9,0.827,Yes,2359,personal,Yes
54,39105,535,12852,No,11,0.526,No,5943,home,Yes
50,31271,679,18502,3.2,9,0.378,Yes,5808,home,Yes
39,47510,769,14874,9.9,7,0.234,2,10153,home,No
58,45349,680,24174,2.6,9,0.135,Yes,24975,personal,No
28,62490,683,15572,4.1,12,0.158,Yes,17245,personal,No
37,21204,699,19308,4.9,7,0.418,No,5942,education,Yes
37,50929,708,7345,8.1,13,0.603,No,5165,auto,Yes
45,57274,727,9607,8.1,14,0.172,No,21054,education,No
63,32835,565,12244,0.6,7,0.588,4,7893,home,Yes
46,45197,803,1000,3.1,10,0.128,No,No,auto,No
62,44829,633,18378,3.8,6,0.68,Yes,No,auto,Yes
62,42317,630,11854,8.4,9,0.222,No,9737,personal,No
23,65353,714,20137,3.6,13,0.378,No,18705,auto,No
49,40084,704,18739,No,5,0.483,Yes,7568,auto,Yes
26,44051,527,8454,9.1,9,0.297,Yes,No,home,Yes
50,53114,750,1324,6.2,8,0.173,No,13728,auto,No
31,10000,593,11577,2.2,5,0.549,3,272,auto,Yes
54,36388,475,18827,3.0,12,0.655,Yes,7437,auto,Yes
44,36264,574,35899,1.4,13,0.486,2,4023,home,Yes
51,32296,669,4069,7.2,8,0.57,No,8257,auto,Yes
46,75038,606,5752,11.6,Yes,0.21,No,19426,auto,No
63,50746,600,14510,2.5,9,0.652,3,3831,home,Yes
32,37803,585,8200,No,10,0.6,3,4236,home,Yes
28,64075,770,8341,7.1,8,0.239,No,9476,personal,No
48,79931,759,1000,6.7,11,0.201,No,13996,home,No
47,75857,757,28034,6.0,5,0.39,No,25199,home,No
37,56502,708,19093,9.0,Yes,0.1,No,4388,auto,No
64,61448,697,11141,13.7,10,0.313,No,8894,home,No
43,84544,589,22242,9.0,8,0.05,No,11506,home,No
60,65916,651,11362,12.6,11,0.204,No,13256,education,No
25,30835,609,12577,0.3,14,0.638,Yes,No,personal,Yes
25,102612,750,9240,5.7,Yes,0.146,No,No,auto,No
32,40993,574,19491,0.1,9,0.444,4,1758,home,Yes
42,23638,720,1000,5.9,6,0.629,No,793,auto,Yes
62,43603,519,16034,No,9,0.533,2,4966,home,Yes
54,42696,610,7076,15.3,7,0.332,No,6740,personal,No
36,61427,466,1000,6.4,12,0.939,4,2911,education,Yes
37,69786,745,8944,6.6,14,0.421,No,No,education,No
60,55220,603,14339,2.2,3,0.453,Yes,7644,education,Yes
26,53154,611,11134,3.5,Yes,0.3,No,29968,auto,No
28,74231,500,7385,0.1,4,0.569,Yes,2925,home,Yes
23,95141,568,11747,4.4,5,0.273,No,3758,personal,No
48,66955,489,5982,5.9,5,0.502,No,2516,education,Yes
39,58353,648,4152,12.6,10,0.3,No,9257,education,No
64,41721,685,15877,11.4,13,0.191,No,23190,education,No
64,47565,647,7305,0.1,5,0.622,4,7076,home,Yes
37,54278,664,2861,9.3,2,0.309,Yes,20456,auto,No
24,36252,596,11526,5.6,5,0.301,No,4759,home,Yes
57,46904,720,12042,4.8,13,0.358,4,No,auto,Yes
24,52657,624,2428,8.2,6,0.463,No,3408,personal,Yes
55,27806,607,14312,5.0,Yes,0.421,No,1606,auto,Yes
60,62474,644,8315,No,8,0.715,3,6145,auto,Yes
53,22177,698,7632,0.6,13,0.547,Yes,1150,auto,Yes
43,36273,583,21202,5.5,13,0.287,4,7316,auto,Yes
43,101438,761,1000,10.5,14,0.283,No,14686,home,No
40,35939,506,16194,4.7,14,0.403,Yes,3629,personal,Yes
43,59365,798,11123,6.5,11,0.383,Yes,12189,personal,No
37,47784,684,19111,8.6,2,0.261,No,16994,auto,No
58,71545,815,10437,12.5,7,0.128,No,11387,personal,No
64,74032,784,19365,10.1,4,0.356,No,10323,personal,No
58,30915,556,8772,6.3,14,0.345,Yes,6319,personal,No
62,46394,667,6819,0.1,13,0.443,No,10844,education,Yes
54,47652,652,5796,10.9,Yes,0.43,No,No,education,No
46,57426,730,11087,10.8,12,0.46,No,8934,personal,No
46,63141,586,27774,11.7,13,0.185,2,15125,auto,No
63,69153,758,18054,5.6,10,0.35,No,23245,auto,No
34,50448,643,11079,2.2,4,0.481,2,4933,education,Yes
34,36865,718,9495,6.9,13,0.707,Yes,4836,home,Yes
25,81024,814,4831,5.1,Yes,0.18,No,11920,personal,No
35,28820,476,18844,1.3,2,0.665,2,No,personal,Yes
60,56230,714,16349,13.8,3,0.302,Yes,9027,auto,No
29,35784,536,11766,2.9,11,0.477,4,4281,personal,Yes
40,28773,660,12096,No,2,0.388,No,4311,education,Yes
59,47476,676,10619,No,6,0.287,No,7589,auto,No
43,81590,625,3526,11.0,7,0.223,No,13364,auto,No
29,68581,670,10469,12.3,2,0.241,No,19982,auto,No
33,18431,488,9512,0.6,8,0.699,2,5528,home,Yes
42,26620,545,6275,1.2,14,0.546,2,2808,education,Yes
54,48512,513,15888,3.0,12,0.667,No,3571,home,Yes
49,37025,642,17379,5.3,9,0.336,No,5168,auto,Yes
56,41363,487,19771,1.5,8,0.486,Yes,1954,education,Yes
26,44501,614,5726,10.6,5,0.262,No,15464,education,No
37,76491,749,10275,13.5,10,0.32,Yes,No,home,No
29,58089,709,15071,4.2,4,0.345,No,17798,auto,No
22,90553,706,10466,4.9,13,0.18,No,23092,auto,No
47,49346,739,18858,4.4,11,0.072,No,9917,home,No
49,21851,474,2216,1.8,4,0.543,2,7526,personal,Yes
60,76806,707,9525,6.5,2,0.132,No,8712,personal,No
29,69306,678,9340,3.6,3,0.19,No,14652,personal,No
52,23291,664,20499,1.8,10,0.682,No,No,home,Yes
61,71490,601,23212,3.0,8,0.502,No,2154,auto,Yes
57,73686,648,3959,3.1,13,0.399,2,4814,home,Yes
45,44104,559,22154,No,4,0.653,4,908,auto,Yes
46,26491,704,8411,4.5,3,0.511,2,1052,auto,Yes
34,68485,731,14426,5.9,5,0.291,No,22394,personal,No
24,35546,720,13643,4.2,7,0.447,2,6499,auto,Yes
60,83634,740,11017,6.9,2,0.252,No,18064,auto,No
24,15846,535,2521,3.0,5,0.528,Yes,4866,auto,Yes
64,69018,802,25163,9.7,7,0.239,No,18776,personal,No
50,114674,798,9660,0.6,Yes,0.447,No,12639,home,No
58,21215,720,4960,3.3,13,0.408,Yes,No,home,Yes
23,31894,647,15969,8.2,Yes,0.754,Yes,No,home,Yes
33,44083,680,27233,7.5,4,0.546,Yes,No,home,Yes
39,88783,633,12631,11.3,12,0.188,No,15030,education,No
59,37279,500,14575,No,Yes,0.536,Yes,No,personal,Yes
29,69391,730,17357,8.8,7,0.139,No,9783,education,No
57,30858,520,20496,No,7,0.358,2,2740,personal,Yes
30,12861,714,22215,No,11,0.796,Yes,4079,education,Yes
37,73782,709,10454,7.7,3,0.249,No,25631,personal,No
37,56033,595,13034,2.8,7,0.365,3,2873,education,Yes
62,48138,600,10689,5.4,13,0.67,Yes,No,auto,Yes
52,58823,568,18515,1.8,7,0.22,No,20518,auto,No
47,29104,696,15058,2.8,10,0.62,3,3739,auto,Yes
25,60342,749,22286,1.6,9,0.14,No,7625,auto,No
58,56912,467,9746,No,10,0.395,2,2285,personal,Yes
35,94110,723,12141,3.3,3,0.218,No,No,home,No
35,26150,503,1000,3.4,5,0.431,No,3133,home,Yes
27,50163,655,7989,5.0,3,0.606,No,1614,auto,Yes
60,57673,665,19229,10.8,4,0.297,No,27433,education,No
36,29528,655,9649,No,12,0.567,No,No,home,Yes
37,91073,628,12472,12.6,4,0.323,No,7723,home,No
53,30690,610,18552,3.7,2,0.524,Yes,9061,home,Yes
38,59852,621,8296,2.6,7,0.159,No,14502,auto,No
63,48451,839,6127,No,10,0.114,Yes,19114,home,No
24,74848,716,15834,11.3,14,0.182,No,8111,personal,No
29,27658,430,15668,6.8,Yes,0.621,3,2340,home,Yes
54,55853,716,8552,7.7,14,0.172,No,4446,personal,No
40,54192,649,6349,10.2,12,0.203,No,25732,personal,No
37,93776,814,1000,3.1,5,0.336,No,6968,education,No
47,37032,597,11485,7.1,8,0.124,No,24601,home,No
40,57982,556,22035,2.4,3,0.523,Yes,844,personal,Yes
27,61857,544,8894,No,9,0.677,Yes,4839,home,Yes
25,97478,796,26909,8.4,5,0.302,No,18094,home,No
24,59457,694,13144,7.0,9,0.43,No,10102,education,No
31,64899,611,13049,7.7,6,0.224,No,14581,auto,No
38,25000,678,3602,4.6,11,0.357,No,33911,education,No
40,51088,639,7729,3.5,9,0.298,No,4291,auto,No
56,61579,689,27266,8.6,7,0.363,No,20433,education,No
22,85234,811,12088,6.5,3,0.343,No,13153,education,No
55,43822,548,28910,2.1,13,0.614,No,5569,personal,Yes
22,23030,565,14576,5.4,12,0.698,Yes,4869,personal,Yes
50,25148,543,3997,No,6,0.572,Yes,No,auto,Yes
43,66536,691,18171,6.4,12,0.401,No,11696,personal,No
54,63810,850,11623,7.8,10,0.244,No,22082,home,No
50,26745,647,10690,4.2,4,0.45,No,4160,home,Yes
31,39500,501,8228,1.2,5,0.431,3,3805,personal,Yes
50,42074,586,1531,10.2,14,0.504,Yes,5077,home,Yes
42,59681,682,10127,4.4,13,0.231,Yes,15555,personal,No
52,20717,645,17431,6.4,14,0.436,No,1359,home,Yes
59,72356,683,1701,8.0,13,0.424,Yes,16553,personal,No
36,78577,720,5578,17.2,2,0.182,No,9482,auto,No
59,44994,822,8261,12.3,14,0.277,Yes,5595,auto,No
50,92201,678,11430,9.7,13,0.327,No,27584,education,No
34,36713,522,16150,1.3,14,0.452,Yes,3526,auto,Yes
36,18513,720,11180,4.6,13,0.696,4,861,auto,Yes
38,45430,637,15093,4.0,2,0.533,No,11071,auto,No
39,30983,561,17629,No,10,0.409,No,5796,education,Yes
55,45455,655,7363,1.7,14,0.227,No,12721,education,No
48,65590,699,15001,6.9,12,0.301,No,No,auto,No
25,51155,786,6925,4.1,10,0.328,No,19391,home,No
45,12148,499,21799,2.4,5,0.551,No,9489,personal,Yes
63,60982,605,5567,2.8,3,0.188,Yes,6283,home,No
32,25758,640,13036,6.4,5,0.575,No,2728,personal,Yes
38,71654,741,7701,9.9,2,0.197,Yes,12827,auto,No
36,70881,634,16327,2.7,9,0.313,No,24900,personal,No
42,22319,497,2450,0.1,10,0.544,2,6066,personal,Yes
33,58007,727,3872,9.6,Yes,0.238,No,20773,auto,No
52,52520,552,6753,8.5,2,0.532,No,4177,auto,Yes
58,57235,685,7482,3.5,14,0.25,No,1331,personal,Yes
44,28119,643,14841,3.6,4,0.651,Yes,2611,personal,Yes
42,75653,764,8850,11.1,6,0.381,No,17490,home,No
54,25186,684,18592,2.3,5,0.323,No,17680,auto,No
29,94568,785,11419,3.2,13,0.27,No,13524,personal,No
23,48270,569,18756,6.2,11,0.563,No,6050,home,Yes
33,64782,638,16542,No,4,0.343,Yes,13793,personal,No
44,55531,621,2963,7.4,2,0.304,No,5658,auto,No
63,79123,619,19185,1.2,10,0.315,No,21312,personal,No
52,51609,518,4544,7.8,2,0.743,3,No,auto,Yes
47,36572,643,17109,4.6,8,0.476,2,4684,education,Yes
26,12509,559,14427,1.2,10,0.614,No,1564,auto,Yes
52,20304,720,5839,No,10,0.384,Yes,2908,home,Yes
64,33028,692,20746,8.2,11,0.271,No,24438,auto,No
48,80964,692,1000,6.5,12,0.435,No,16560,education,No
50,37598,660,14658,10.2,4,0.276,No,6182,personal,No
42,51411,653,7030,3.1,10,0.608,Yes,3316,auto,Yes
42,73240,779,1000,6.1,14,0.437,No,14609,education,No
57,58991,758,6597,9.1,5,0.194,No,16415,home,No
54,67793,646,13925,11.9,8,0.286,No,31708,auto,No
29,39302,700,11770,1.1,8,0.657,3,1757,education,Yes
57,81027,729,11857,4.6,8,0.152,No,13053,auto,No
57,58524,580,14860,4.8,10,0.183,No,7508,education,No
51,80101,681,9884,No,2,0.293,2,18857,home,No
50,46533,491,18780,5.4,5,0.413,Yes,2296,home,Yes
58,47162,682,12566,4.2,10,0.385,2,No,auto,Yes
29,31402,773,22605,8.5,12,0.277,Yes,9060,auto,No
43,75000,447,10304,No,6,0.539,2,No,home,Yes
46,46403,508,22985,7.8,4,0.692,2,3976,education,Yes
39,26434,544,9182,0.5,8,0.778,Yes,3899,personal,Yes
29,41185,505,13733,3.4,6,0.439,2,No,home,Yes
29,37123,597,5016,0.7,3,0.337,Yes,4194,home,Yes
22,23797,598,20059,4.9,11,0.396,2,6089,personal,Yes
25,31652,654,5841,No,12,0.464,No,5366,personal,Yes
22,73856,661,11992,4.8,10,0.275,No,26815,auto,No
28,49470,738,10551,3.5,Yes,0.424,No,8302,auto,No
37,64653,646,16179,10.7,4,0.226,No,15671,personal,No
46,48822,764,2508,10.9,9,0.216,Yes,16931,auto,No
45,35397,627,14215,4.5,5,0.313,Yes,6137,auto,Yes
41,48789,772,25634,7.5,12,0.226,No,10162,auto,No
47,68505,551,9957,7.1,13,0.394,Yes,3952,auto,No
37,55566,739,4917,13.6,2,0.257,Yes,13264,education,No
35,72666,756,5214,3.0,2,0.29,No,23654,auto,No
49,46223,559,3777,6.8,14,0.434,2,6741,home,Yes
64,34925,636,10877,2.1,9,0.655,No,1634,home,Yes
52,45098,587,13258,1.7,5,0.609,3,2770,auto,Yes
54,65257,718,13946,2.8,10,0.168,2,12319,auto,No
34,69685,593,16509,3.8,8,0.164,Yes,13501,home,No
64,20161,617,18246,4.1,14,0.455,2,6446,home,Yes
42,87301,736,18192,13.2,7,0.237,Yes,19855,personal,No
49,75000,634,6799,6.2,10,0.671,3,1219,auto,Yes
54,73503,782,16729,6.0,Yes,0.236,Yes,23361,home,No
27,10000,575,17822,1.7,8,0.432,No,5266,education,Yes
49,57799,677,9358,5.8,3,0.745,2,3181,personal,Yes
58,63409,737,15462,5.5,11,0.373,No,14332,auto,No
30,42493,751,10107,11.4,10,0.307,No,8453,auto,No
39,32067,537,27529,0.1,4,0.451,2,5961,education,Yes
53,39060,555,15787,3.6,7,0.476,2,4997,auto,Yes
50,30950,524,16727,1.1,4,0.433,Yes,5929,home,Yes
47,39183,581,9694,1.2,3,0.58,Yes,1688,auto,Yes
54,55131,723,16977,6.1,5,0.05,2,18667,personal,No
53,76708,666,6619,11.3,10,0.299,2,12123,personal,No
24,25000,694,22198,7.3,12,0.246,Yes,7033,auto,No
42,42693,850,23919,14.4,Yes,0.229,No,8189,education,No
37,54245,788,9274,8.3,10,0.418,No,11351,education,No
26,76987,850,12051,5.9,6,0.387,No,29660,home,No
63,10000,596,15263,2.9,8,0.537,No,2538,education,Yes
23,33283,519,18183,6.8,Yes,0.575,Yes,892,education,Yes
31,82156,707,20720,7.9,7,0.287,Yes,10604,auto,No
59,34403,633,17047,4.4,5,0.379,Yes,2833,education,Yes
54,59311,636,14583,6.9,6,0.167,Yes,6104,personal,No
57,60788,626,13910,10.4,5,0.342,No,19418,home,No
38,62236,568,9736,1.6,3,0.706,2,2911,auto,Yes
33,76614,652,1000,3.6,13,0.245,No,5099,home,No
52,92602,663,20235,11.8,11,0.301,No,17529,home,No
64,68309,705,8604,11.4,4,0.433,2,18862,education,No
40,68415,638,12627,7.5,7,0.374,No,17671,home,No
27,54951,748,3323,6.2,14,0.4,No,18150,home,No
27,58550,787,25447,9.1,7,0.438,No,30633,personal,No
40,64540,719,8758,2.3,13,0.255,2,5034,personal,No
30,53889,773,17774,4.1,Yes,0.21,No,17950,home,No
43,29488,658,13966,6.0,4,0.464,4,5011,personal,Yes
62,56151,816,6670,2.5,12,0.115,No,5953,education,No
61,26240,695,4377,7.6,8,0.256,No,16734,personal,No
54,69726,772,14382,13.0,11,0.209,No,17623,personal,No
63,45691,655,11905,5.5,6,0.306,2,13165,education,No
30,60506,602,18243,No,2,0.621,2,5921,home,Yes
26,62340,607,5089,5.5,4,0.342,No,13376,personal,No
51,86494,771,12595,Yes,4,0.339,No,5374,home,No
64,36260,623,19503,No,8,0.289,2,1374,personal,Yes
62,63142,643,1000,10.5,2,0.389,No,17043,education,No
31,26127,633,17115,No,12,0.523,3,9098,personal,Yes
62,84084,717,1000,5.1,Yes,0.246,No,11661,home,No
55,62583,726,15327,9.1,7,0.243,Yes,20209,education,No
47,77545,818,6797,2.8,12,0.221,No,9226,home,No
59,43364,570,19589,5.3,6,0.605,Yes,6834,education,Yes
62,67880,850,20091,5.8,2,0.122,Yes,No,personal,No
57,62277,817,12671,8.6,12,0.258,No,15304,auto,No
23,71344,673,18032,4.7,2,0.443,Yes,2299,personal,Yes
51,38645,652,21537,4.5,13,0.712,Yes,2175,education,Yes
28,77112,650,18025,4.4,7,0.447,No,16578,auto,No
43,33157,759,29096,No,13,0.253,No,15439,home,No
54,37762,500,9341,6.1,Yes,0.848,Yes,1245,home,Yes
45,77877,850,2597,7.3,4,0.383,No,11456,home,No
33,78335,850,8808,6.3,10,0.311,No,19790,home,No
62,30902,516,20119,6.6,2,0.535,4,2584,personal,Yes
52,35898,628,17406,6.6,6,0.787,3,8130,home,Yes
52,97409,620,16417,14.5,5,0.264,No,18361,education,No
43,60663,673,11836,11.3,10,0.542,2,3017,home,Yes
50,37712,583,14971,7.4,Yes,0.533,Yes,4456,personal,Yes
45,56897,754,24448,3.8,6,0.351,No,29069,personal,No
30,37947,713,8409,8.1,11,0.167,No,12044,home,No
62,10000,454,1608,4.2,14,0.678,2,2061,personal,Yes
24,50736,719,14165,3.7,7,0.102,No,12350,personal,No
28,26067,645,7670,Yes,10,0.507,Yes,319,auto,Yes
52,33085,637,7536,8.2,12,0.231,No,7670,personal,No
43,37945,747,13948,7.1,Yes,0.285,No,17409,education,No
31,74012,550,15367,2.4,6,0.345,No,30233,personal,No
50,42916,562,4408,5.5,7,0.616,Yes,4923,auto,Yes
44,44394,530,16867,1.8,13,0.62,3,No,home,Yes
32,61973,659,22347,13.1,4,0.204,No,18126,home,No
22,40652,757,20275,10.2,9,0.46,No,18871,personal,No
40,46676,662,3541,3.6,3,0.538,No,7677,personal,Yes
30,41377,609,20893,6.1,5,0.678,2,3468,personal,Yes
37,49580,493,3807,No,4,0.755,4,825,personal,Yes
34,40696,444,18768,5.6,5,0.699,2,1010,personal,Yes
41,62987,605,4019,6.0,7,0.502,2,1981,education,Yes
61,29538,731,17974,6.9,9,0.378,Yes,19503,home,No
35,58347,671,10251,4.4,9,0.264,No,17108,auto,No
58,37196,558,14611,No,14,0.618,3,2406,personal,Yes
61,48591,550,22990,3.1,6,0.469,No,2547,home,Yes
41,43046,563,8789,3.2,6,0.398,Yes,4881,home,Yes
28,39411,534,1000,2.3,3,0.559,Yes,No,home,Yes
38,88070,681,20561,3.0,7,0.395,No,16375,home,No
23,73551,502,16389,No,14,0.392,3,9683,home,Yes
29,48260,535,15502,2.4,12,0.644,3,1807,personal,Yes
62,57299,648,19983,1.6,3,0.45,3,2858,auto,Yes
64,34168,526,4046,Yes,4,0.61,Yes,4647,personal,Yes
43,47232,535,13038,4.5,11,0.789,Yes,682,auto,Yes
34,72578,630,12353,No,13,0.211,No,2867,auto,No
38,76485,632,16190,8.8,9,0.29,No,6020,auto,No
24,36019,450,19671,2.8,2,0.5,2,3004,education,Yes
54,41131,715,19700,6.2,7,0.275,Yes,9658,education,No
37,28382,550,8471,3.8,10,0.569,No,3717,auto,Yes
36,58032,754,4570,12.6,11,0.06,No,14504,home,No
33,72277,701,5864,10.0,5,0.313,No,8565,auto,No
42,82055,661,13826,8.7,11,0.507,No,26626,education,No
40,89740,686,7258,No,14,0.488,No,26898,auto,No
46,59483,624,11792,3.7,2,0.538,No,3875,auto,Yes
39,50405,787,6339,3.0,4,0.343,No,21785,home,No
45,65122,554,17477,5.3,11,0.388,No,12892,personal,No
38,42457,739,8827,9.0,7,0.3,No,14408,personal,No
59,61596,699,17724,7.8,9,0.422,No,18091,home,No
36,84079,692,6596,4.4,7,0.314,No,10614,auto,No
58,59243,705,13553,5.4,11,0.273,No,17084,personal,No
49,36724,718,16130,1.3,11,0.256,No,4603,personal,No
26,76084,620,16513,0.5,5,0.228,Yes,26713,auto,No
62,87244,707,20314,7.3,7,0.346,2,22163,auto,No
62,63220,692,4642,0.1,7,0.607,4,3570,education,Yes
27,26471,555,21863,5.6,7,0.486,Yes,7415,personal,Yes
30,47102,579,1000,4.0,4,0.354,Yes,15656,home,No
64,40673,616,1016,1.4,7,0.501,No,8271,home,Yes
44,54675,537,12215,No,6,0.505,2,3875,personal,Yes
56,19315,565,12898,3.3,5,0.726,Yes,9689,personal,Yes
47,28848,561,6505,2.0,2,0.585,2,6198,auto,Yes
50,19239,685,13257,No,3,0.667,4,12502,home,Yes
56,41340,624,29831,0.5,Yes,0.798,Yes,3430,auto,Yes
44,82377,701,10740,10.2,9,0.169,Yes,15306,auto,No
22,45043,560,8943,5.0,14,0.394,No,2788,education,Yes
